idempl,id_cittadino
994,ID_278990666
994,ID_279620865
994,ID_283692075
994,ID_283692075
995,ID_284594765
996,ID_279757892
997,ID_279728208
997,ID_284575978
998,ID_279472872
998,ID_284320642
999,ID_278956363
999,ID_283804134
1000,ID_279120126
1001,ID_279141457
1001,ID_283989227
1002,ID_279626517
1002,ID_284474287
1003,ID_279011357
1003,ID_279389793
1003,ID_283859127
1003,ID_284237563
1004,ID_279411875
1005,ID_278837303
1005,ID_283807981
1006,ID_278895805
1007,ID_279728700
1008,ID_284206852
1009,ID_284375912
1010,ID_278783677
1011,ID_279770384
1011,ID_284618154
1012,ID_279765685
1012,ID_284613455
1013,ID_279663644
1014,ID_278848151
1015,ID_283955037
1016,ID_278922912
1017,ID_279241495
1017,ID_279241495
1017,ID_279241495
1018,ID_278945323
1019,ID_279251532
1019,ID_284099302
1020,ID_283696033
1021,ID_279680219
1021,ID_284527989
1022,ID_279195124
1022,ID_284042894
1023,ID_284278931
1024,ID_279386779
1024,ID_284234549
1024,ID_284513649
1025,ID_279290311
1025,ID_284138081
1026,ID_278917589
1026,ID_283765360
1027,ID_279368976
1028,ID_279802428
1029,ID_279205441
1030,ID_278877355
1031,ID_279325202
1031,ID_279325202
1031,ID_284172972
1032,ID_279278260
1032,ID_279278260
1032,ID_284126030
1033,ID_279795697
1033,ID_284643467
1034,ID_278997217
1035,ID_279416813
1035,ID_279416813
